marca,modelo,quilometragem,fipe,valor_venda,ano_fabricacao
Renault,SANDERO,113908,29442,,2014
Citroen,C3,96506,,,
Ford,KA,83248,,,2016
Hyundai,TUCSON,102613,,,2014
Fiat,UNO,84144,,,2013
Fiat,UNO,122908,30757,,2013
Renault,LOGAN,81517,,,
Fiat,SIENA,109693,,,2013
Fiat,PUNTO,122908,,,2012
Volkswagen,VOYAGE,70506,,,2018
Hyundai,I30,74988,,,2012
Toyota,COROLLA,127975,,,2013
Fiat,MOBI ,4619,41662,,2019
Fiat,PUNTO,91393,,,2016
Volkswagen,VOYAGE,120290,,,2014
Citroen,C3,102998,,,2013
Renault,SANDERO,126193,,,
Renault,DUSTER,75920,,,2015
Renault,Logan,77241,31972,,2013
Ford,FIESTA,88298,,,"2,013"
Volkswagen,FOX,,,,2012
Chevrolet,ONIX,54559,,,2014
Chevrolet,SONIC,119704,,,2013
Ford,FIESTA,2030,,,2011
Chevrolet,PRISMA,119704,,,2013
Renault,KWID,5900,39381,,"2,019"
Chevrolet,SONIC,122176,33951,,2013
Fiat,PALIO,74817,34424,,2015
Chevrolet,S10,154223,95788,,2012
Chevrolet,CELTA,112185,26855,,2014
Lifan,X60,92285,34974,,2013
Fiat,UNO,77482,,,2015
Volkswagen,VOYAGE,74131,42971,,2017
Volkswagen,VOYAGE,107052,,,2014
Volkswagen,GOL,103829,,,2014
Hyundai,I30,,,,2011
Chevrolet,ONIX,,,,2015
Fiat,PALIO,,,,2016
Kia,SOUL,93824,,,2011
Hyundai,HB20,115063,35806,,2013
Ford,FUSION,139604,79660,,2015
Volkswagen,VOYAGE,55497,,,2018
Fiat,ARGO,56840,47431,,2018
Renault,SANDERO,17419,38173,,2018
Chevrolet,PRISMA,101725,43634,,2014
Ford,KA,107459,36269,,2016
Jeep,RENEGADE,78987,66421,,2015
Fiat,UNO,68839,26395,,2014
Chevrolet,CAPTIVA,78149,,,2015
Volkswagen,SAVEIRO,,,,2012
Nissan,KICKS,,,,2019
Chery,FACE,,,,2012
Renault,KWID,,,,2019
Chevrolet,CRUZE HATCH,,,,2013
Chevrolet,COBALT,87185,48956,,2016
Fiat,SIENA,113211,29381,,2014
Chevrolet,ONIX,49896,43586,,2016
Renault,DUSTER,,,,2013
Toyota,ETIOS,47727,37246,,2014
Hyundai,HB20,,,,2017
Hyundai,IX35,85785,55632,,2011
Fiat,PALIO,,,,2015
Fiat,PALIO WEEKEND,,32829,,2014
Fiat,GRAND SIENA,,,,2017
Citroen,AIRCROSS,,,,2011
Hyundai,HB20,80916,38131,,2014
Renault,KWID,119337,35722,,2018
Volkswagen,VOYAGE,235613,36154,,2015
Volkswagen,VOYAGE,,,,2015
Fiat,UNO,,,,2017
Fiat,UNO,123017,24828,,2015
Volkswagen,GOL,,,,2012
Fiat,ARGO,,,,2017
Chevrolet,ZAFIRA,,,,2012
Renault,FLUENCE,,,,2012
Toyota,COROLLA,81623,80470,,2016
Honda,FIT,,,,2016
Volkswagen,VOYAGE,,,,2011
Renault,LOGAN,,,,2012
Chevrolet,SONIC,,,,2013
Chevrolet,ONIX,,,,2014
Volkswagen,NOVO FOX,98943,38520,,2014
Volkswagen,VOYAGE,96397,48427,,2018
Fiat,UNO,,,,2015
Chevrolet,ONIX,,34482,,2013
Renault,DUSTER OROCH,,,,2016
Hyundai,TUCSON,,,,2011
Hyundai,I30,87056,58397,,2014
Volkswagen,GOL,67127,,,2014
Fiat,PALIO,73212,31510,,2015
